# Ground-truth SH-4 function entry points
#
# Source: https://github.com/EstexNT/rhythmtengokuarcade
#   commit c2c1cda7d9a7f15fcee232d8a4abeced3b273634 (2024-04-28)
# These are the `func_0cXXXXXX` entries split out under that repo's
# asm/entry.s and asm/code_0c0*/ directories — an INDEPENDENT
# manual/matching disassembly of the same decrypted fpr-24423.ic8.
# They are the external check that fixed our base address (0x0C01FB00)
# and that validate tools/find_func_boundaries_v3.py.  Addresses only
# — no ROM bytes — so safe to commit.
#
# These 181 functions COMPLETELY cover the window [0x0C020000,
# 0x0C026FDC); everything above 0x0C026FDC is still one bindata blob in
# EstexNT's decomp.  Within the window the set is exhaustive, so it
# checks our scanner's PRECISION (no invented functions) as well as its
# recall (see tools/validate_groundtruth.py).
#
# vaddr      translation_unit
0x0C020000  entry
0x0C020100  entry
0x0C020140  code_0c020140
0x0C0201A0  code_0c020140
0x0C020200  code_0c020140
0x0C020268  code_0c020140
0x0C02028C  code_0c020140
0x0C0202B0  code_0c020140
0x0C020304  code_0c020140
0x0C02039C  code_0c020140
0x0C020440  code_0c020140
0x0C0204E8  code_0c020140
0x0C0206FC  code_0c020140
0x0C020724  code_0c020140
0x0C02074C  code_0c020140
0x0C0208F0  code_0c020140
0x0C02095C  code_0c020140
0x0C020C08  code_0c020140
0x0C020C74  code_0c020140
0x0C020C82  code_0c020140
0x0C020C8E  code_0c020140
0x0C020C9A  code_0c020140
0x0C020CA8  code_0c020140
0x0C020CB6  code_0c020140
0x0C020CC4  code_0c020140
0x0C020CDC  code_0c020140
0x0C020CF4  code_0c020140
0x0C020D14  code_0c020140
0x0C020D34  code_0c020140
0x0C020D64  code_0c020140
0x0C020EE8  code_0c020140
0x0C020F0C  code_0c020140
0x0C020F30  code_0c020140
0x0C020F3C  code_0c020140
0x0C020F60  code_0c020140
0x0C020F6C  code_0c020140
0x0C020F78  code_0c020140
0x0C021048  code_0c020140
0x0C021174  code_0c020140
0x0C021250  code_0c021250
0x0C021390  code_0c021250
0x0C02139E  code_0c021250
0x0C0213AE  code_0c021250
0x0C0213E0  code_0c021250
0x0C021404  code_0c021250
0x0C021430  code_0c021250
0x0C021458  code_0c021250
0x0C021464  code_0c021250
0x0C021470  code_0c021250
0x0C02147C  code_0c021250
0x0C021496  code_0c021250
0x0C0214AC  code_0c021250
0x0C0214C6  code_0c021250
0x0C0214DC  code_0c021250
0x0C0215B4  code_0c021250
0x0C021684  code_0c021250
0x0C0216BC  code_0c021250
0x0C0216CC  code_0c021250
0x0C0216D8  code_0c021250
0x0C0216E4  code_0c021250
0x0C021724  code_0c021250
0x0C021764  code_0c021250
0x0C021790  code_0c021250
0x0C0217AC  code_0c021250
0x0C021802  code_0c021250
0x0C0218D8  code_0c021250
0x0C02198C  code_0c021250
0x0C021AF4  code_0c021250
0x0C021AF6  code_0c021250
0x0C021B10  code_0c021250
0x0C021B44  code_0c021250
0x0C021B60  code_0c021250
0x0C021BC8  code_0c021250
0x0C021C20  code_0c021250
0x0C021C40  code_0c021250
0x0C021D1C  code_0c021250
0x0C021E84  code_0c021250
0x0C021EAC  code_0c021250
0x0C021F34  code_0c021250
0x0C021F58  code_0c021250
0x0C021F7C  code_0c021250
0x0C021FBC  code_0c021250
0x0C021FD8  code_0c021250
0x0C022050  code_0c021250
0x0C0220B4  code_0c021250
0x0C0220F4  code_0c021250
0x0C022224  code_0c022224
0x0C022268  code_0c022224
0x0C0222A0  code_0c022224
0x0C0222D8  code_0c022224
0x0C022364  code_0c022224
0x0C0223E8  code_0c022224
0x0C0223EC  code_0c022224
0x0C02246C  code_0c022224
0x0C022470  code_0c022224
0x0C02259C  code_0c022224
0x0C0225FC  code_0c022224
0x0C022608  code_0c022224
0x0C02262C  code_0c022224
0x0C02267C  code_0c022224
0x0C0226D0  code_0c022224
0x0C022704  code_0c022224
0x0C022728  code_0c022224
0x0C0227D0  code_0c022224
0x0C022840  code_0c022224
0x0C022940  code_0c022224
0x0C02296C  code_0c022224
0x0C0229B8  code_0c022224
0x0C0229DC  code_0c022224
0x0C022A00  code_0c022224
0x0C022A9C  code_0c022224
0x0C022B00  code_0c022224
0x0C022C2C  code_0c022224
0x0C022CB0  code_0c022224
0x0C022DD8  code_0c022224
0x0C022E98  code_0c022224
0x0C022F34  code_0c022224
0x0C0234D8  code_0c022224
0x0C0235D4  code_0c022224
0x0C0236C8  code_0c022224
0x0C0237BC  code_0c022224
0x0C023868  code_0c022224
0x0C023990  code_0c022224
0x0C023C10  code_0c022224
0x0C024164  code_0c022224
0x0C024390  code_0c022224
0x0C024608  code_0c022224
0x0C0246DC  code_0c022224
0x0C0247AC  code_0c022224
0x0C0249A8  code_0c022224
0x0C024AC0  code_0c022224
0x0C024B5C  code_0c022224
0x0C024C00  code_0c022224
0x0C024CF8  code_0c022224
0x0C024D18  code_0c022224
0x0C025054  code_0c022224
0x0C025930  code_0c025930
0x0C02620C  code_0c025930
0x0C026434  code_0c025930
0x0C026440  code_0c025930
0x0C026464  code_0c025930
0x0C0264CA  code_0c025930
0x0C0264E8  code_0c025930
0x0C026518  code_0c025930
0x0C02653C  code_0c025930
0x0C02654A  code_0c025930
0x0C026572  code_0c025930
0x0C02658C  code_0c025930
0x0C0265A8  code_0c025930
0x0C0265B6  code_0c025930
0x0C0265C6  code_0c025930
0x0C0265E4  code_0c025930
0x0C026600  code_0c025930
0x0C026610  code_0c025930
0x0C02662C  code_0c025930
0x0C026648  code_0c025930
0x0C026664  code_0c025930
0x0C026680  code_0c025930
0x0C026690  code_0c025930
0x0C0266AC  code_0c025930
0x0C0266C8  code_0c025930
0x0C0266E4  code_0c025930
0x0C026700  code_0c025930
0x0C026768  code_0c025930
0x0C0267C4  code_0c025930
0x0C0269B6  code_0c025930
0x0C0269E4  code_0c025930
0x0C026A2E  code_0c025930
0x0C026B2C  code_0c025930
0x0C026B94  code_0c025930
0x0C026C04  code_0c025930
